"train_indices","barrio","cod_barrio","distrito","cod_distrito","longitud","latitud","precio.house.m2","sup.util","ref.hip.zona","dorm","banos","tipo.casa","inter.exter","ascensor","estado","antig","comercial","casco.historico","Ruidos_ext","Mal_olor","Poca_limp","Malas_comunic","Pocas_zonas","Delincuencia","M.30","CO","NO2","Nox","O3","SO2","PM10","Pobl.0_14_div_Poblac.Total","PoblJubilada_div_Poblac.Total","Inmigrantes.porc","ref.hip.zona ","radio","log.precio.house.m2"
"15","Costillares","159","ciudad_lineal","15",-3.665493,40.47778,4755,80,3849,3,2,"piso","exterior","si","segunda_mano",5,"0","0",0.38,0.17,0.3,0.62,0.2,0.3,"0",-0.237485971426674,-0.00346780999237247,-0.00366046363057954,0.049694125,-0.255485996628983,-0.348679625958945,12.6403244799163,20.7824152819573,13.4305900824284,"3849",6992.52796797002,8.46695197497949
"17","Portazgo","135","puente_vallecas","13",-3.650597,40.386473,2097,55,2725,0,1,"estudio","exterior","no","buen_estado",30,"0","0",0.38,0.27,0.52,0.08,0.27,0.55,"0",-1.02268393896567,-0.470863626801459,-0.706027817421464,0.161495757,-0.8336176306654,-0.423698395324818,14.0851619218533,17.5324251570275,15.6513581858227,"2725",5198.55159299113,7.64826303090192
"18","Palacio","11","centro","1",-3.71963,40.419541,5056,81,4125,2,1,"piso","interior","si","buen_estado",25.7136349884584,"1","1",0.43,0.29,0.43,0.06,0.36,0.45,"0",0.00421406507026669,0.00156601099659002,0.0653401058458883,0.325279543,-0.166106248865626,0.11306558117805,8.89722566365522,16.2444144382421,18.5726018625499,"4125",2122.14184616439,8.52833093582669
"19","Casco Histórico de Vallecas","181","vallecas","18",-3.624741,40.379657,2871,41,3015,1,1,"piso","exterior","no","buen_estado",7.5,"0","0",0.41,0.58,0.45,0.07,0.53,0.52,"0",-0.600598242149432,-0.00346780999237247,-0.00366046363057954,0.110043744,-0.506426469458945,-0.241673975496537,16.3236733530746,11.5771084486625,9.57490304915067,"3015",7365.78453183484,7.96241568012106
"21","Embajadores","12","centro","1",-3.698487,40.41196,4600,62,3163,2,1,"piso","interior","si","buen_estado",30.3180887001425,"1","1",0.43,0.33,0.64,0.04,0.74,0.76,"1",0.764099719296456,-0.0739515074491649,-0.0343158814843584,0.009266593,0.10121808785406,0.502213578615216,8.89722566365522,16.2444144382421,18.5726018625499,"3163",850.117723105681,8.43381158247719
"22","Cortes","13","centro","1",-3.697693,40.414166,4583,92,3945,2,1,"piso","exterior","si","buen_estado",40,"1","1",0.53,0.39,0.53,0.03,0.47,0.65,"1",0.686466233641204,-0.236741629212894,-0.148375370130962,-0.281372518,0.338240944068093,0.513650237771142,8.89722566365522,16.2444144382421,18.5726018625499,"3945",598.572993931259,8.43010908450912
"23","Fuente del Berro","43","salamanca","4",-3.663772,40.429379,5128,45,4086,1,1,"piso","exterior","si","buen_estado",30,"1","1",0.38,0.24,0.42,0.02,0.17,0.26,"0",0.142352527388083,-0.381834854586664,-0.377190199625324,-0.309690791,0.159083687234541,-0.347977167925271,10.8508323139206,22.4451037773467,8.57455680888883,"4086",2856.56119708691,8.54247099860051
"25","Delicias","25","arganzuela","2",-3.6936,40.4,2843,40,3679,2,1,"piso","interior","si","buen_estado",40,"1","1",0.47,0.44,0.58,0.09,0.42,0.55,"0",1.49043463615102,0.20206292605216,1.18632303019127,0.120738122,-0.682227600970869,0.576026416830853,12.4059736305031,16.4637662379734,12.0677702549483,"3679",2116.76807708464,7.952615111651
"26","Numancia","136","puente_vallecas","13",-3.661065,40.403578,3087,25,3139,1,1,"piso","interior","no","buen_estado",30,"0","0",0.36,0.24,0.5,0.18,0.4,0.45,"0",0.0714817775007327,-0.00346780999237247,-0.00366046363057954,-0.119113414,-0.207780923158403,-0.322594112821547,14.0851619218533,17.5324251570275,15.6513581858227,"3139",3320.64068807452,8.03495502450216
"27","Ventas","151","ciudad_lineal","15",-3.656194,40.424719,3950,62,2861,3,1,"piso","exterior","si","segunda_mano",25,"0","0",0.41,0.26,0.47,0.38,0.31,0.41,"0",0.0530403204726102,-0.0036242252339253,-0.00381487915042333,-0.240856347,-0.00615588456272649,-0.425830430883949,12.6403244799163,20.7824152819573,13.4305900824284,"2861",3316.4538012223,8.28147085789517
"32","Entrevías","131","puente_vallecas","13",-3.671966,40.381663,1705,71,2536,3,2,"piso","exterior","no","buen_estado",35,"0","0",0.34,0.22,0.58,0.17,0.23,0.62,"0",-0.392727032871953,-0.00346780999237247,-0.00366046363057954,0.063021428,-0.743665181206872,-0.0313103652816922,14.0851619218533,17.5324251570275,15.6513581858227,"2536",4577.85890453078,7.44132038971762
"34","Peñagrande","83","fuencarral","8",-3.73106,40.484168,4083,105,3333,3,2,"piso","exterior","si","reformado",15,"0","0",0.3,0.14,0.34,0.12,0.31,0.28,"0",-0.226467886340145,-0.00346780999237247,-0.00366046363057954,0.184215216,-0.788497790559622,-0.13403495704595,14.2042185577595,16.9485824548359,7.08064473299875,"3333",7884.54800185713,8.31458729131958
"36","Acacias","22","arganzuela","2",-3.7028,40.405033,3939,90,3780,3,2,"piso","exterior","si","buen_estado",10,"1","1",0.42,0.35,0.48,0.14,0.24,0.4,"0",0.923543167116964,0.167625743788277,0.314429085645964,0.721275415,-0.467582105460123,0.407287132081201,12.4059736305031,16.4637662379734,12.0677702549483,"3780",1703.0731487197,8.27868216297091
"37","Castilla","56","chamartin","5",-3.6847977,40.473876,4972,165,3059,4,4,"piso","exterior","si","buen_estado",30,"0","0",0.5,0.25,0.3,0.15,0.41,0.25,"0",-0.0893424009787745,-0.0488965936943952,0.175366839771723,-0.34508739,0.0542885890806416,-0.116209497329065,12.6403244799163,20.7824152819573,13.4305900824284,"3059",6164.95151121192,8.5115774526306
"38","El Pardo","81","fuencarral","8",-3.7359122,40.532723,4000,680,2996,6,7,"chalet","exterior","no","buen_estado",11.3206861711834,"1","0",0.12,0.06,0.3,0.35,0.1,0.06,"0",-0.271638654088029,-0.00346780999237247,-0.00366046363057954,0.055845137,-0.716509870079959,-0.153342983476085,14.2042185577595,16.9485824548359,7.08064473299875,"2996",13134.0356396055,8.29404964010203
"39","Villaverde Alto, Casco Histórico de Villaverde","171","villaverde","17",-3.709023,40.344876,2667,95,2313,3,2,"piso","exterior","si","buen_estado",5,"0","0",0.44,0.39,0.52,0.23,0.49,0.73,"0",-0.271638654088029,-0.00346780999237247,-0.00366046363057954,0.055845137,-0.590931597911831,-0.0650597714666971,15.4340900438799,16.5594715715936,18.1236517127839,"2313",8341.5914278111,7.88870952418201
"41","Campamento","105","latina","10",-3.776314,40.395195,3538,82,2831,3,2,"piso","exterior","si","buen_estado",7.5,"0","0",0.36,0.21,0.44,0.27,0.22,0.37,"0",-0.23861661996347,-0.00346780999237247,-0.00366046363057954,0.055845137,-0.644601792645149,-0.23002386144275,11.6618606886501,21.8191401950297,13.9478008774786,"2831",7416.10708225555,8.17131687471973
"42","Lista","45","salamanca","4",-3.669544,40.431013,3621,50,4371,2,1,"piso","interior","no","buen_estado",30,"1","1",0.37,0.23,0.33,0.01,0.43,0.19,"0",0.287659122450333,-0.59921262644427,-0.604008641457597,-0.232203527,0.478515998147802,-0.249279352400423,10.8508323139206,22.4451037773467,8.57455680888883,"4371",2509.33538185413,8.19450550976564
"43","Trafalgar","73","chamberi","7",-3.700333,40.437606,5429,63,4466,2,1,"piso","exterior","si","buen_estado",22.4326322625361,"1","1",0.48,0.31,0.48,0.02,0.58,0.35,"1",0.93880403746824,0.223613545790769,0.243812629154172,-0.709719918,1.31703501553159,0.404296447073531,10.208239022182,22.7526510007271,9.66020549542505,"4466",2127.42085104102,8.59951023390545
"44","Almendrales","124","usera","12",-3.702972,40.384376,2438,75,2752,3,1,"piso","interior","no","buen_estado",36.0823104176054,"0","0",0.47,0.35,0.57,0.11,0.39,0.68,"0",0.526381227105591,-0.00346717823097174,-0.00365053744461245,0.164766352,-0.608269883199504,0.294840110910639,14.7617732259595,17.6805558506683,20.543385107905,"2752",3919.12214526405,7.79893331004122
"45","Valdeacederas","65","tetuan","6",-3.701663,40.4692,3714,31,3059,0,1,"estudio","exterior","si","buen_estado",5,"0","0",0.42,0.27,0.49,0.19,0.49,0.41,"0",-0.0275017741180979,-0.00469695845821053,0.00118340665138591,0.130966012,-0.0236241369292048,0.157664311409299,11.1810440577564,19.5566137701235,17.5599075693549,"3059",5620.18251907354,8.21986474191265
"46","Legazpi","24","arganzuela","2",-3.689196,40.391175,4651,67,3857,2,2,"piso","exterior","si","buen_estado",7.5,"1","1",0.48,0.39,0.5,0.43,0.24,0.56,"0",0.847884231148891,-0.00346780999237247,-0.00366046363057954,0.03699681,-0.688894365624484,0.431022149257765,12.4059736305031,16.4637662379734,12.0677702549483,"3857",3131.15468600637,8.4448375292241
"47","Casco Histórico de Vallecas","181","vallecas","18",-3.58955,40.363113,2997,46,2962,1,1,"piso","exterior","si","nuevo-semin,",0,"0","0",0.41,0.58,0.45,0.07,0.53,0.52,"0",-0.387461798796685,-0.00346780999237247,-0.00366046363057954,0.065628675,-0.46749187805155,-0.164600493131663,16.3236733530746,11.5771084486625,9.57490304915067,"2962",10864.3435433292,8.00536706731666
"48","San Isidro","113","carabanchel","11",-3.724369,40.402946,3000,90,3436,3,2,"piso","exterior","si","buen_estado",16.0235411499939,"0","0",0.43,0.3,0.53,0.18,0.33,0.61,"0",0.26385137855055,-0.00497477949731438,-0.0109746995723492,0.467873569,-0.231547746874017,0.0225243614987337,13.431372167504,18.6782268954326,17.8368933701206,"3436",3092.00353789853,8.00636756765025
"50","Costillares","159","ciudad_lineal","15",-3.668153,40.482415,4845,89,4807,2,2,"piso","exterior","si","segunda_mano",15,"0","0",0.38,0.17,0.3,0.62,0.2,0.3,"0",-0.197198931179175,-0.00346780999237247,-0.00366046363057954,0.054337157,-0.314367466308942,-0.329718751209602,12.6403244799163,20.7824152819573,13.4305900824284,"4807",7406.29144840088,8.48570252432487
"51","Casa de Campo","91","moncloa","9",-3.725824,40.423298,3047,65,3432,2,1,"piso","exterior","no","buen_estado",30,"1","0",0.41,0.23,0.22,0.31,0.04,0.24,"0",-0.337164461481532,-0.00346282468791707,-0.00359212809636204,0.153831691,-0.366399837647505,-0.00154503963977362,14.2389070449109,18.7982210841953,8.04302415686803,"3432",2689.05994520814,8.02191277898571
"54","Ventas","151","ciudad_lineal","15",-3.652825,40.424637,2068,66,2830,3,1,"piso","exterior","no","buen_estado",31.493135456402,"0","0",0.41,0.26,0.47,0.38,0.31,0.41,"0",-0.00626169422844534,-0.00346780999237247,-0.00366046363057954,-0.182970329,-0.0681438499292533,-0.448744047675343,12.6403244799163,20.7824152819573,13.4305900824284,"2830",3595.47029220268,7.63433723562832
"55","Bellas Vistas","61","tetuan","6",-3.706341,40.454099,3394,87,3466,3,1,"atico","exterior","si","buen_estado",15,"0","0",0.4,0.23,0.46,0.03,0.5,0.46,"1",0.172913202838658,0.0831444417300637,0.031888013893192,0.657408558,0.640332415438128,0.291859933714197,11.1810440577564,19.5566137701235,17.5599075693549,"3466",4031.85367535711,8.12976444579417
"57","Entrevías","131","puente_vallecas","13",-3.660251,40.372345,1440,115,2382,4,2,"piso","exterior","no","segunda_mano",40,"0","0",0.34,0.22,0.58,0.17,0.23,0.62,"0",-0.58911560098113,-0.00346780999237247,-0.00366046363057954,0.061181764,-0.772485613848364,-0.267557571400837,14.0851619218533,17.5324251570275,15.6513581858227,"2382",5954.31502255796,7.27239839257005
"58","Acacias","22","arganzuela","2",-3.70171,40.406328,3231,55,3541,2,1,"duplex","exterior","si","buen_estado",30,"1","1",0.42,0.35,0.48,0.14,0.24,0.4,"0",0.929151628950061,0.126217687086773,0.324446937812542,0.62926868,-0.394212024377753,0.431978367842264,12.4059736305031,16.4637662379734,12.0677702549483,"3541",1533.97195354568,8.0805469658245
"59","Goya","42","salamanca","4",-3.672523,40.42565,4664,480,4664,7,7,"piso","interior","si","a_reformar",30,"1","1",0.37,0.26,0.33,0.01,0.38,0.19,"0",0.457270132218814,-0.307485283218967,-0.343468037562895,-0.232007386,0.629639655963895,-0.132959074033291,10.8508323139206,22.4451037773467,8.57455680888883,"4664",2012.06566953153,8.44762872803033
"62","San Isidro","113","carabanchel","11",-3.731575,40.39798,2442,86,2699,3,1,"piso","exterior","si","buen_estado",35,"0","0",0.43,0.3,0.53,0.18,0.33,0.61,"0",0.316065171912826,-0.531515343646877,-0.515808125361946,-0.123287973,0.17276519985002,-0.0214724073840254,13.431372167504,18.6782268954326,17.8368933701206,"2699",3911.27098133563,7.80057265467065
"63","Aguilas","107","latina","10",-3.773761,40.378999,2667,70,2839,3,1,"piso","exterior","no","buen_estado",25,"0","0",0.28,0.11,0.35,0.13,0.12,0.28,"0",-0.271638476396088,-0.00346780999237247,-0.00366046363057954,0.055845137,-0.517468789400084,-0.217216507447732,11.6618606886501,21.8191401950297,13.9478008774786,"2839",8053.84331018173,7.88870952418201
"64","Puerta Bonita","115","carabanchel","11",-3.734772,40.378018,2615,60,1916,2,1,"piso","exterior","no","buen_estado",30.378460708782,"0","0",0.36,0.23,0.47,0.24,0.49,0.41,"0",0.00258100943017803,-0.00346780999237247,-0.00366046363057954,0.080310928,-0.216187827599316,-0.0801792123654093,13.431372167504,18.6782268954326,17.8368933701206,"1916",5693.06174118452,7.86901937649902
"65","Pueblo Nuevo","152","ciudad_lineal","15",-3.6265257,40.425359,3672,44,2915,1,1,"piso","exterior","si","buen_estado",13.9402989774262,"0","0",0.38,0.23,0.45,0.18,0.35,0.51,"0",-0.319317614473408,-0.00346780999237247,-0.00366046363057954,0.056061274,-0.541952859800474,-0.296305139692391,12.6403244799163,20.7824152819573,13.4305900824284,"2915",5812.30020176815,8.20849175174038
"67","Puerta del Angel","102","latina","10",-3.731275,40.413741,2526,88,2962,3,1,"piso","exterior","si","segunda_mano",40,"0","0",0.41,0.27,0.54,0.1,0.33,0.57,"0",-0.334373948093746,0.00238039371561937,0.0081965729707033,0.116417457,-0.518847150310158,-0.0576082287921526,11.6618606886501,21.8191401950297,13.9478008774786,"2962",3162.98234932292,7.83439230291044
"68","San Fermín","123","usera","12",-3.689307,40.368443,2699,75,2546,3,2,"piso","exterior","si","buen_estado",7.5,"0","0",0.45,0.47,0.62,0.59,0.48,0.75,"0",-0.227516562514164,-0.00346780999237247,-0.00366046363057954,0.055845137,-0.679729773413934,0.23266166738403,14.7617732259595,17.6805558506683,20.543385107905,"2546",5645.84188227157,7.900636613018
"69","Entrevías","131","puente_vallecas","13",-3.666601,40.383265,1985,60,2595,2,1,"piso","exterior","no","buen_estado",35,"0","0",0.34,0.22,0.58,0.17,0.23,0.62,"0",-0.583307735617327,-0.00346780999237247,-0.00366046363057954,0.08299458,-0.756942104123657,-0.161415716655115,14.0851619218533,17.5324251570275,15.6513581858227,"2595",4632.30327252474,7.59337419312129
"70","Argüelles","92","moncloa","9",-3.71458,40.430991,4111,70,5199,3,1,"piso","interior","si","a_reformar",40,"1","1",0.37,0.24,0.28,0.05,0.05,0.33,"1",0.427145223121884,0.0071119997731066,0.141361161169235,0.057382798,0.294562026553621,0.224156126495437,14.2389070449109,18.7982210841953,8.04302415686803,"5199",2156.05097306397,8.32142158689788
"71","Santa Eugenia","182","vallecas","18",-3.607078,40.385831,2473,87,2189,3,1,"piso","exterior","no","buen_estado",34.3412426415879,"0","0",0.34,0.72,0.32,0.3,0.15,0.51,"0",-0.591990781829618,0.021879767490541,-0.000660743043570282,0.527076974,-0.358852843514426,-0.175591480507723,16.3236733530746,11.5771084486625,9.57490304915067,"2189",8287.3351669255,7.81318726752142
"73","Pilar","84","fuencarral","8",-3.712951,40.473998,4545,50,3561,3,1,"piso","exterior","si","buen_estado",32.1926251809051,"0","0",0.37,0.18,0.34,0.04,0.18,0.32,"0",-0.0611339492828222,0.168479514699001,0.119998205092764,0.91243078,-0.572274924349278,0.103432783046652,14.2042185577595,16.9485824548359,7.08064473299875,"3561",6316.64347366715,8.42178300661158
"74","Cortes","13","centro","1",-3.696281,40.413534,4508,108,4337,2,2,"piso","exterior","no","buen_estado",40,"1","1",0.53,0.39,0.53,0.03,0.47,0.65,"1",0.758199567662597,-0.110922268278336,-0.0702492790678157,-0.312374115,0.301003586249496,0.53956816750997,8.89722566365522,16.2444144382421,18.5726018625499,"4337",624.929195254198,8.41360887515967
"75","Almendrales","124","usera","12",-3.698877,40.380802,2761,60,2744,2,1,"piso","exterior","si","buen_estado",25,"0","0",0.47,0.35,0.57,0.11,0.39,0.68,"0",0.337451440803566,-0.00346780999237247,-0.00366046363057954,0.103911545,-0.640252089502349,0.326112873645845,14.7617732259595,17.6805558506683,20.543385107905,"2744",4267.61228691241,7.92334821193015
"76","Almendrales","124","usera","12",-3.700186,40.382387,2557,45,2751,2,1,"piso","exterior","no","buen_estado",25.4727871253735,"0","0",0.47,0.35,0.57,0.11,0.39,0.68,"0",0.427470364592343,-0.00346780999237247,-0.00366046363057954,0.124022607,-0.632106185549728,0.322659783073052,14.7617732259595,17.6805558506683,20.543385107905,"2751",4103.157772703,7.84658997529119
"78","Acacias","22","arganzuela","2",-3.705508,40.407374,3257,67,3645,2,1,"piso","exterior","si","buen_estado",15,"1","1",0.42,0.35,0.48,0.14,0.24,0.4,"0",0.667100590785909,0.4065143746515,0.231198846250328,0.930906548,-0.386052906607263,0.358881022150005,12.4059736305031,16.4637662379734,12.0677702549483,"3645",1590.50880225021,8.08856180527623
"82","San Diego","132","puente_vallecas","13",-3.668168,40.389051,3512,77,2742,3,1,"piso","exterior","no","reformado",25,"0","0",0.46,0.35,0.65,0.17,0.59,0.57,"0",-0.324616597877678,-0.00346780999237247,-0.00366046363057954,0.08350737,-0.680174167596574,-0.132693503110835,14.0851619218533,17.5324251570275,15.6513581858227,"2742",4016.87551279973,8.16394095475501
"83","San Diego","132","puente_vallecas","13",-3.663769,40.384899,3800,40,2544,1,1,"piso","interior","si","buen_estado",4,"0","0",0.46,0.35,0.65,0.17,0.59,0.57,"0",-0.673523570709896,-0.00589053200609401,-0.00730114843894098,0.099847033,-0.760973055419634,-0.225127192525893,14.0851619218533,17.5324251570275,15.6513581858227,"2544",4608.82733502091,8.24275634571448
"86","San Isidro","113","carabanchel","11",-3.73329,40.393741,2460,50,2632,2,1,"piso","interior","si","buen_estado",0,"0","0",0.43,0.3,0.53,0.18,0.33,0.61,"0",0.337932528007562,-0.581972868787663,-0.564746339955545,-0.113404909,0.256864858050889,-0.0375341205200861,13.431372167504,18.6782268954326,17.8368933701206,"2632",4319.96384313278,7.80791662892641
"87","Guindalera","44","salamanca","4",-3.668251,40.432537,5500,190,4744,5,3,"piso","exterior","si","buen_estado",25,"1","1",0.38,0.23,0.35,0.03,0.37,0.2,"0",0.197299149859632,-0.436839268476392,-0.434670829610402,-0.173677087,0.443515820745068,-0.284120267445465,10.8508323139206,22.4451037773467,8.57455680888883,"4744",2693.78758011888,8.61250337122056
"88","Marroquina","143","moratalaz","14",-3.650937,40.411209,3030,42,3174,2,1,"piso","exterior","no","buen_estado",40,"0","0",0.28,0.15,0.31,0.16,0.13,0.27,"0",0.209570169936202,-0.348299625802217,-0.295324186632266,-0.552437187,0.0956616858796472,-0.450446404631146,13.0862840391885,22.22093651161,7.95629869628944,"3174",3800.93003890709,8.01631789850341
"89","Lucero","103","latina","10",-3.742218,40.407402,3071,62,3070,2,1,"piso","exterior","no","buen_estado",30,"0","0",0.38,0.21,0.39,0.09,0.13,0.47,"0",-0.0177573760049555,0.369419522503833,0.75235607928161,-0.440127793,-0.578520153083874,-0.138169280179522,11.6618606886501,21.8191401950297,13.9478008774786,"3070",4237.45505506095,8.02975852044082
"90","Valdeacederas","65","tetuan","6",-3.701491,40.467633,4500,90,3059,2,2,"atico","exterior","si","buen_estado",3,"0","0",0.42,0.27,0.49,0.19,0.49,0.41,"0",-0.0260118342709132,-0.00484082436042175,0.00175035831562929,0.050335769,0.060596307777689,0.170184310292595,11.1810440577564,19.5566137701235,17.5599075693549,"3059",5445.18720974842,8.41183267575841
"91","Pacífico","31","retiro","3",-3.673425,40.40585,5363,55,4023,1,1,"piso","exterior","si","buen_estado",25,"1","1",0.38,0.27,0.37,0.02,0.32,0.26,"0",0.575160209608471,-0.00346780999237247,-0.00366046363057954,0.017581678,-0.168774803466592,-0.0128581755575338,11.4343101904508,21.3085529446878,6.06361267736289,"4023",2316.03573850447,8.58727879898293
"92","Puerta Bonita","115","carabanchel","11",-3.74765,40.378513,3126,72,1119,2,1,"piso","exterior","no","reformado",23,"0","0",0.36,0.23,0.47,0.24,0.49,0.41,"0",-0.121047875330597,-0.00346780999237247,-0.00366046363057954,0.055575637,-0.271758339491193,-0.152582722616428,13.431372167504,18.6782268954326,17.8368933701206,"1119",6367.03255863907,8.04750951098142
"94","Rios Rosas","75","chamberi","7",-3.698727,40.440779,5000,60,4247,2,1,"piso","interior","si","buen_estado",30,"1","1",0.42,0.28,0.39,0.01,0.56,0.21,"1",0.927896584797565,0.416166343373014,0.396661310621284,-0.622690431,1.37352095136576,0.391210279751185,10.208239022182,22.7526510007271,9.66020549542505,"4247",2449.51878702998,8.51719319141624
"95","Arcos","204","san_blas","20",-3.620231,40.419867,2554,85,2789,3,1,"piso","exterior","si","a_reformar",40,"0","0",0.33,0.18,0.57,0.23,0.46,0.46,"0",-0.200967818065865,-0.00346780999237247,-0.00366046363057954,0.055845137,-0.500059299264641,-0.251640134458221,15.7803097218604,16.9864075695667,9.82035623733057,"2789",6303.48028721018,7.84541603659248
"97","San Pascual","155","ciudad_lineal","15",-3.655,40.445,2333,80,2991,3,1,"piso","exterior","no","buen_estado",40,"0","0",0.33,0.18,0.46,0.17,0.29,0.32,"0",-0.648064791984373,-0.00346780999237247,-0.00366046363057954,0.078549726,-0.152802226188023,-0.432959776248193,12.6403244799163,20.7824152819573,13.4305900824284,"2991",4431.26377583693,7.75491027202143
"98","Pavones","141","moratalaz","14",-3.633707,40.395833,2650,50,2909,2,1,"piso","exterior","no","buen_estado",25,"0","0",0.25,0.21,0.42,0.15,0.1,0.36,"0",-0.396277796670482,-0.00346780999237247,-0.00366046363057954,-0.024943944,-0.373110271924716,-0.3271667923124,13.0862840391885,22.22093651161,7.95629869628944,"2909",5769.99209439888,7.88231491898027
